code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
RON,328.28,587.56,336.2,601.72,227.44,7.39,228.09,7.41,1066.66,1092.38,5.1,5.1,5.74,1.14,1.14,5.11,19.1,18.33,18.33,9.16,90.0,90.0,90.0,771.0,0.688981,1,176.0,200.0,6.0,11.0,29.0,35.0
RRO,195.92,1090.91,195.92,1090.91,69.71,6.92,69.71,6.92,1944.19,1944.19,4.4,4.4,4.46,4.09,1.54,3.13,17.9,7.412,8.641,17.18,90.0,113.678,90.0,924.0,0.801488,2,54.0,11.0,4.0,13.0,13.0,21.0
RSN,468.27,1303.72,468.27,1303.72,150.55,7.03,150.55,7.03,2185.99,2185.99,5.8,3.4,5.15,3.77,2.9,3.77,16.8,7.155,41.826,7.158,90.0,90.003,90.0,914.0,0.786947,3,108.0,74.0,2.0,56.0,30.0,203.0
RTE,231.3,965.96,232.51,971.02,163.41,11.68,163.47,11.69,1653.83,1662.5,7.7,4.6,7.06,1.92,1.82,3.98,17.2,14.098,13.67,7.431,90.0,102.421,90.0,844.0,0.715873,1,72.0,16.0,4.0,24.0,14.0,56.0
RTH,359.08,1124.7,359.08,1124.7,318.87,16.03,318.87,16.03,1805.49,1805.49,8.8,4.8,8.18,4.14,1.67,2.76,16.1,9.762,20.53,9.996,90.0,96.897,90.0,817.0,0.695757,2,96.0,11.0,6.0,22.0,16.0,52.0
RUT,0.0,0.0,303.32,844.48,0.0,0.0,161.25,8.12,0.0,1527.59,6.6,2.2,5.96,1.93,1.54,1.93,18.1,13.224,13.286,12.454,90.0,114.842,90.0,902.0,0.767499,0,108.0,22.0,6.0,18.0,22.0,42.0
RWR,241.6,756.71,241.6,756.71,72.86,4.37,72.86,4.37,1449.69,1449.69,5.1,3.8,4.42,1.99,1.99,1.66,19.2,7.806,7.806,27.35,90.0,90.0,90.0,1052.0,0.919647,1,96.0,33.0,8.0,24.0,32.0,48.0
RWY,1272.21,2656.48,1272.21,2656.48,2551.63,45.53,2551.63,45.53,2270.29,2270.29,15.0,6.9,14.4,6.29,6.29,6.29,7.6,17.762,17.762,17.762,90.0,90.0,90.0,410.0,0.333333,3,144.0,14.0,2.0,110.0,16.0,300.0
SAF,322.46,505.0,323.02,505.87,332.15,9.86,332.16,9.86,957.26,958.91,6.5,6.5,6.66,1.96,1.5,6.19,19.0,14.709,27.536,8.317,90.0,90.0,90.0,881.0,,1,192.0,164.0,42.0,28.0,78.0,62.0
SAO,774.51,1386.22,785.77,1406.36,1014.26,25.69,1015.14,25.71,1961.76,1990.26,9.3,6.9,8.64,6.79,6.79,6.79,14.2,13.439,13.439,21.86,90.0,90.0,90.0,632.0,0.545455,3,168.0,100.0,6.0,28.0,40.0,111.0
SAS,383.49,1201.14,396.56,1242.06,387.22,18.09,388.32,18.14,1791.27,1852.3,9.6,4.9,8.99,2.02,2.02,4.22,14.9,14.349,14.349,10.398,90.0,90.0,90.0,701.0,0.586667,1,96.0,114.0,6.0,38.0,20.0,85.0
SAT,727.82,1013.16,777.2,1081.92,571.01,13.02,578.15,13.18,1659.1,1771.68,7.5,3.6,6.84,3.25,3.25,3.25,16.4,12.871,12.871,30.577,90.0,90.0,120.0,763.0,0.644444,3,216.0,147.0,12.0,98.0,48.0,230.0
