code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume_pct,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections,vol_accessibility_ratio,area_vol_ratio,pore_anisotropy,confinement_ratio,connections_per_atom,ab_ratio,bc_ratio,CO2_capacity_mmol_g,CO2_N2_selectivity,desorption_energy_kJ_mol,data_source
CON,663.44,1187.42,663.44,1187.42,683.92,19.18,19.18,1860.28,8.1,6.2,7.45,4.89,4.89,5.6,15.7,22.684,13.373,12.553,90.0,69.479,90.0,784.0,0.670229,3.0,168.0,86.0,11.0,44.0,74.0,142.0,1.0,61.90928050052138,0.07995813220896637,0.7654320987654322,0.8452380952380952,1.6962536454049206,1.0653230303513104,0.9,16.0,26.0,literature
CSV,359.08,993.83,422.7,1022.08,250.91,11.12,11.69,1716.4,6.9,4.7,6.7,3.32,3.28,3.65,16.2,13.02702,11.18216,9.21893,92.35,107.3,104.5,757.0,0.6981845,2.0,108.0,59.0,6.0,31.0,29.0,72.0,1.0,81.05164533820842,0.2242057233126143,0.7083333333333334,0.6477272727272727,1.164982436309264,1.212956384309242,1.0747920823191839,29.4416174159127,29.4262673659774,estimated
CZP,142.11,593.46,142.11,593.46,44.68,3.97,3.97,1261.6,4.2,4.7,4.26,1.25,1.25,3.68,20.6,9.355,9.355,14.862,90.0,90.0,120.0,885.0,0.8,1.0,72.0,156.0,0.0,18.0,36.0,60.0,1.0,149.48614609571788,0.6810491039469858,0.7083333333333334,0.8333333333333334,1.0,0.6294576772978066,0.49370706151100496,16.4975029516383,26.61392949228312,estimated
DAC,261.51,1092.11,261.51,1092.11,130.63,9.5,9.5,1901.67,5.8,4.8,5.28,1.57,4.19,3.66,17.5,18.574,7.542,10.377,90.0,108.917,90.0,977.0,0.84119,2.0,72.0,28.0,2.0,8.0,8.0,12.0,1.0,114.95894736842104,0.4411604015531947,0.8275862068965517,0.16666666666666666,2.462741978255105,0.7267996530789245,0.7,22.0,28.0,literature
DDR,803.48,671.09,1062.91,887.78,618.22,9.21,10.51,1582.69,8.3,3.3,7.66,3.65,3.65,2.63,17.9,13.795,13.795,40.75,90.0,90.0,120.0,968.0,0.850801,2.0,360.0,69.0,18.0,36.0,30.0,90.0,0.8763082778306376,72.86536373507057,0.17791458446326835,0.3975903614457831,0.25,1.0,0.3385276073619632,0.9,45.0,33.0,literature
DFO,1702.48,1292.7,1702.48,1292.7,1950.88,22.01,22.01,1920.48,11.9,7.8,11.29,5.08,5.08,7.19,14.9,21.995,21.995,21.159,90.0,90.0,120.0,664.0,0.576042,3.0,396.0,285.0,26.0,121.0,92.0,260.0,1.0,58.732394366197184,0.21064133740463004,0.6554621848739496,0.6565656565656566,1.0,1.0395103738361928,1.5914017381782801,38.73706086171237,32.967598851250926,estimated
DFT,93.15,1167.06,93.15,1167.06,29.74,6.58,6.58,2062.47,5.7,4.3,5.1,3.07,3.07,3.65,17.7,7.075,7.075,9.023,90.0,90.0,90.0,840.0,0.711111,3.0,24.0,32.0,2.0,5.0,6.0,13.0,1.0,177.3647416413374,0.10261383742491817,0.7543859649122806,0.5416666666666666,1.0,0.7841072813919983,0.8,30.0,30.0,literature
DOH,0.0,0.0,338.65,998.3,0.0,0.0,10.96,1688.85,8.5,3.3,7.85,2.55,2.55,2.62,17.0,14.19,14.19,11.499,90.0,90.0,120.0,1002.0,0.882191,0.0,102.0,37.0,6.0,22.0,16.0,50.0,0.0,81.05164533820842,0.015705123902826672,0.388235294117647,0.49019607843137253,1.0,1.234020349595617,0.04,2.5,17.0,literature
DON,417.23,653.41,422.7,661.97,582.78,15.59,15.6,1130.84,8.7,8.7,8.79,2.19,1.79,8.07,17.1,18.89,23.365,8.469,90.0,90.0,90.0,851.0,0.72892,1.0,192.0,88.0,8.0,82.0,102.0,210.0,0.9993589743589744,41.912123155869146,0.8753483541638593,1.0,1.09375,0.8084742135673016,2.7588853465580354,0.7,18.0,27.0,literature
EAB,458.05,1275.26,458.19,1275.66,323.11,14.32,14.32,2030.41,7.4,3.4,7.14,3.54,3.54,2.5,16.0,13.178,13.178,15.005,90.0,90.0,120.0,735.0,0.628571,2.0,108.0,46.0,4.0,40.0,30.0,96.0,1.0,89.05446927374301,0.18803056783628733,0.45945945945945943,0.8888888888888888,1.0,0.8782405864711763,1.5,50.0,34.0,literature
EDI,69.74,1397.95,69.74,1397.95,29.27,9.52,9.52,2268.03,6.4,4.1,5.72,3.2,3.2,3.44,16.3,6.926,6.926,6.41,90.0,90.0,90.0,786.0,0.666667,3.0,15.0,12.0,1.0,7.0,4.0,17.0,1.0,146.843487394958,0.04224514164802136,0.6406249999999999,1.1333333333333333,1.0,1.0804992199687988,1.1,35.0,32.0,literature
EEI,1406.41,704.81,1463.77,733.55,1044.49,9.36,9.42,1312.38,6.9,4.7,6.96,3.11,2.15,2.23,17.9,13.8761,35.745,22.4869,90.0,90.0,90.0,1009.0,0.6981845,1.0,108.0,59.0,6.0,31.0,29.0,72.0,0.9936305732484076,75.30021367521367,0.21335096774833834,0.7083333333333334,0.6477272727272727,0.3881969506224647,1.5895921625479723,0.7479999898895691,21.32565388816679,27.517654187147066,estimated
EMT,1160.53,1211.65,1337.69,1396.6,1973.81,27.39,28.58,1856.02,12.2,8.0,11.55,6.54,6.54,7.37,13.3,17.215,17.215,28.082,90.0,90.0,120.0,584.0,0.493095,3.0,288.0,164.0,16.0,60.0,97.0,283.0,0.9583624912526243,44.23694779116466,0.07029839463482486,0.6557377049180328,0.9826388888888888,1.0,0.6130261377394772,3.2,75.0,37.0,literature
EON,622.17,1039.32,622.17,1039.32,444.77,12.48,12.48,1746.2,7.3,7.3,7.83,6.79,3.24,1.9,16.8,7.571,18.148,25.932,90.0,90.0,90.0,873.0,0.769676,2.0,180.0,53.0,4.0,30.0,24.0,56.0,1.0,83.27884615384615,0.6354222169746456,1.0,0.3111111111111111,0.41718095657923737,0.699830325466605,1.1650427141094808,26.90034916684487,29.318154917490965,estimated
EPI,253.39,1058.21,253.39,1058.21,122.71,9.04,9.04,1867.09,6.1,4.1,5.47,3.62,1.25,3.48,17.7,9.127,17.48,10.377,90.0,124.939,90.0,979.0,0.845059,2.0,72.0,11.0,2.0,10.0,7.0,36.0,1.0,117.05862831858408,0.4777542574185519,0.6721311475409836,0.5,0.5221395881006865,1.6844945552664545,0.7,22.0,28.0,literature
ERI,419.59,1168.2,425.89,1185.74,338.14,15.1,15.12,1901.76,7.7,3.3,7.04,3.42,3.42,3.42,16.1,13.054,13.054,15.175,90.0,90.0,120.0,738.0,0.628571,3.0,108.0,58.0,6.0,32.0,18.0,84.0,0.9986772486772487,77.36423841059603,0.0,0.42857142857142855,0.7777777777777778,1.0,0.8602306425041186,2.1,60.0,36.0,literature
ESV,367.63,767.64,438.79,916.23,226.17,8.36,8.97,1622.59,6.9,3.7,6.22,1.78,3.66,1.78,17.7,9.686,12.226,22.836,90.0,90.0,90.0,875.0,0.754994,1.0,144.0,20.0,8.0,30.0,22.0,80.0,0.9319955406911927,91.82296650717704,0.4510049194223669,0.5362318840579711,0.5555555555555556,0.7922460330443317,0.5353827290243476,0.6956342810381457,22.047105842687877,28.191405483158135,estimated
ETR,552.54,1153.76,552.54,1153.76,589.31,18.97,18.97,1778.48,10.0,10.0,10.05,2.85,2.85,9.33,15.4,20.634,20.634,8.426,90.0,90.0,120.0,675.0,0.5767,3.0,144.0,123.0,2.0,30.0,28.0,50.0,1.0,60.82024248813917,0.7467524439817913,1.0,0.3472222222222222,1.0,2.448848801329219,0.6,10.0,22.0,literature
EUO,928.38,830.8,971.88,869.73,800.87,12.24,12.32,1485.88,6.7,5.6,7.0,4.99,1.98,2.5,17.1,13.901,22.861,20.582,90.0,90.0,90.0,965.0,0.872973,1.0,336.0,72.0,20.0,96.0,100.0,209.0,0.9935064935064934,67.87581699346404,0.5096708175284298,0.835820895522388,0.6220238095238095,0.6080661388390709,1.1107278204256146,0.65,16.0,27.0,literature
EWT,359.08,993.83,422.7,1022.08,250.91,11.12,11.69,1716.4,6.9,4.7,6.7,3.32,3.28,3.65,14.5,19.80114,19.80114,14.18779,90.0,90.0,120.0,692.0,0.6981845,3.0,108.0,59.0,6.0,31.0,29.0,72.0,1.0,81.05164533820842,0.2242057233126143,0.7083333333333334,0.6477272727272727,1.0,1.395646538326265,1.2162632891692966,44.14714041457978,30.5794124206708,estimated
EZT,422.14,881.46,422.82,882.89,366.76,13.14,13.14,1515.08,6.8,6.8,6.57,6.13,2.12,2.12,17.2,10.233,12.558,21.717,90.0,90.0,90.0,754.0,0.639,1.0,144.0,128.0,8.0,22.0,40.0,54.0,1.0,67.08219178082192,0.669770852300019,1.0,0.375,0.8148590539894889,0.5782566652852604,0.8372910895333368,18.194106557608997,27.376087698076375,estimated
FAR,0.0,0.0,821.34,980.01,0.0,0.0,9.63,1671.05,6.7,2.7,6.36,2.47,2.47,2.26,17.1,12.601,12.601,35.743,90.0,90.0,120.0,806.0,0.693,0.0,252.0,256.0,16.0,84.0,52.0,172.0,0.0,81.05164533820842,0.050518148554092354,0.40298507462686567,0.6825396825396826,1.0,0.35254455417844055,0.32649915235142,13.616294461608724,24.204328060014944,estimated
FAU,2320.63,1211.42,2678.25,1398.11,3956.18,27.42,28.61,1856.19,11.9,6.7,11.24,7.35,7.35,7.35,13.3,24.345,24.345,24.345,90.0,90.0,90.0,579.0,0.47619,3.0,576.0,304.0,32.0,208.0,96.0,496.0,0.9584061516952116,44.180160466812545,1.479989067222333e-16,0.5630252100840336,0.8611111111111112,1.0,1.0,3.4,85.0,38.0,literature
